engine,scenario,minute,thermal_load_input,degradation_input,thermal_load_high,primary_cooling_degraded,backup_reserve_stressed,power_constraint,process_thermal_risk,alarm_interpreted,authorization_ready,intervention_executed,physical_risk_probability,decision_response_probability,uncontained_risk_probability,contained_or_avoided_probability,trace
NumPy density matrix,Sensor-only,95,0.5,1.0,0.8088544072529791,0.46412752563993204,0.3263257155836218,0.05068149956707829,0.13989781698162496,0.3277468112881805,0.01616074224173045,0.001013187976724072,0.13989781698162496,0.001013187976724072,0.13975501755441072,0.0008703885495098333,0.9999999999999948
NumPy density matrix,Sensor-only,96,0.44999999999999996,1.0,0.8028647023193782,0.46749518018085057,0.33050030815847914,0.051988717296533496,0.1435307252109208,0.3298637139753923,0.0172572727085638,0.001031296408397599,0.1435307252109208,0.001031296408397599,0.14338015084755384,0.0008807220450307323,0.9999999999999947
NumPy density matrix,Sensor-only,97,0.4,1.0,0.7966214423009937,0.47066816774132814,0.33454072790537975,0.053318993821386475,0.14720202614491354,0.3318732849727159,0.01837973946473225,0.0010547312252742462,0.14720202614491354,0.0010547312252742462,0.1470422328935992,0.0008949379739598303,0.9999999999999947
NumPy density matrix,Sensor-only,98,0.35,1.0,0.7901534131435144,0.4736458798527175,0.33844618753563743,0.054671623092735176,0.15091122585357142,0.3337881748436796,0.019526248239369673,0.0010838994045935853,0.15091122585357142,0.0010838994045935853,0.15074059854761335,0.0009132720986354674,0.9999999999999948
NumPy density matrix,Sensor-only,99,0.30000000000000004,1.0,0.783486281472118,0.47642790722262907,0.34221592958563846,0.05604586454164949,0.1546577890880685,0.3356217710945629,0.02069498127811769,0.0011192077372736656,0.1546577890880685,0.0011192077372736656,0.1544745355255307,0.0009359541747357526,0.9999999999999946
NumPy density matrix,Sensor-only,100,0.25,1.0,0.7766427359597576,0.47901403413219207,0.34584920948592607,0.057440950598601874,0.1584411273514462,0.33738809010274284,0.02188421652630072,0.001161061706228324,0.1584411273514462,0.001161061706228324,0.1582432732487895,0.0009632076035717868,0.9999999999999946
NumPy density matrix,Sensor-only,101,0.19999999999999996,1.0,0.769642637740542,0.4814042324870391,0.34934528217820987,0.05885609437414961,0.1622605870059996,0.3391016584054792,0.02309234535730626,0.0012098644878173167,0.1622605870059996,0.0012098644878173167,0.16204597177523133,0.0009952492570489844,0.9999999999999947
NumPy density matrix,Sensor-only,102,0.15000000000000002,1.0,0.7625031779895579,0.4835986555319034,0.3527033922659256,0.06029049737751127,0.16611543756426025,0.34077738518223505,0.024317888689342784,0.0012660160859730128,0.16611543756426025,0.0012660160859730128,0.16588171095552143,0.0010322894772341663,0.9999999999999944
NumPy density matrix,Sensor-only,103,0.09999999999999998,1.0,0.7552390410613566,0.4855976312418591,0.35592276765957515,0.061743357150152785,0.1700048603052231,0.34243042783684347,0.025559511361579537,0.0013299126065298005,0.1700048603052231,0.0013299126065298005,0.16974947994844242,0.0010745322497491174,0.9999999999999946
NumPy density matrix,Sensor-only,104,0.050000000000000044,1.0,0.7478625718309573,0.4874016554065738,0.35900261665417077,0.06321387469398117,0.17392793735116446,0.3440760526083999,0.026816034668431313,0.0014019456772471786,0.17392793735116446,0.0014019456772471786,0.17364816722146978,0.0011221755475524847,0.9999999999999943
NumPy density matrix,Sensor-only,105,0.0,1.0,0.740383946112648,0.489011384427491,0.36194212835254247,0.0647012615781771,0.17788364133308618,0.3457294921184727,0.02808644697781696,0.0014825020169971742,0.17788364133308618,0.0014825020169971742,0.17757655115521134,0.0011754118391223956,0.9999999999999944
NumPy density matrix,Sensor-only,106,0.0,1.0,0.7329801066515209,0.4904276278515249,0.3647433163538503,0.06620475120700954,0.18187085144650322,0.34740575603073304,0.029369912130095127,0.0015719631551011789,0.18187085144650322,0.0015719631551011789,0.18153331699431818,0.0012344287029161806,0.9999999999999942
